ÉfÅ[É^ÉRÅ[Éh,CO'TK99F0000607GCQ01000,CO'TK99F0000607GCQ11000,CO'TK99F1000607GCQ01000,CO'TK99F1000607GCQ11000,CO'TK99F0000608GCQ01000,CO'TK99F0000608GCQ11000,CO'TK99F1000608GCQ01000,CO'TK99F1000608GCQ11000,CO'TK99F0000201HCQ00000,CO'TK99F0000204HCQ00000
ånóÒñºèÃ,"D.I./ê∂éYê›îı/ëÂäÈã∆/ëSéYã∆/é¿ê—","D.I./ê∂éYê›îı/ëÂäÈã∆/ëSéYã∆/ó\ë™","D.I./ê∂éYê›îı/ëÂäÈã∆/êªë¢ã∆/é¿ê—","D.I./ê∂éYê›îı/ëÂäÈã∆/êªë¢ã∆/ó\ë™","D.I./åŸópêlàı/ëÂäÈã∆/ëSéYã∆/é¿ê—","D.I./åŸópêlàı/ëÂäÈã∆/ëSéYã∆/ó\ë™","D.I./åŸópêlàı/ëÂäÈã∆/êªë¢ã∆/é¿ê—","D.I./åŸópêlàı/ëÂäÈã∆/êªë¢ã∆/ó\ë™","îÃîÑâøäiå©í Çµ/ÇPîNå„/äÈã∆ÇÃï®âøå©í ÇµÇÃïΩãœ/ëSãKñÕ/ëSéYã∆","ï®âøëSî ÇÃå©í Çµ/ÇPîNå„/äÈã∆ÇÃï®âøå©í ÇµÇÃïΩãœ/ëSãKñÕ/ëSéYã∆"
2008/03,-2,-3,-1,-1,-12,-14,-7,-7,,
2008/06,0,-1,0,-1,-9,-13,-5,-7,,
2008/09,1,-1,2,-1,-6,-11,-2,-5,,
2008/12,7,1,11,2,1,-7,8,0,,
2009/03,23,10,39,17,20,3,35,15,,
2009/06,22,21,38,35,20,19,33,32,,
2009/09,21,18,34,31,18,14,26,24,,
2009/12,18,16,30,28,15,12,21,18,,
2010/03,15,16,25,27,13,13,17,18,,
2010/06,9,13,17,21,8,9,10,13,,
2010/09,7,7,12,12,7,6,9,8,,
2010/12,8,8,12,13,6,6,8,9,,
2011/03,6,6,11,12,4,6,5,8,,
2011/06,6,6,10,9,7,5,8,6,,
2011/09,5,4,9,8,4,4,5,5,,
2011/12,5,3,9,7,4,2,6,4,,
2012/03,6,4,10,10,3,4,8,7,,
2012/06,5,5,10,10,3,2,8,8,,
2012/09,6,4,11,8,2,2,7,6,,
2012/12,7,5,14,10,4,3,10,9,,
2013/03,7,7,13,14,3,4,11,10,,
2013/06,5,5,11,11,2,1,8,8,,
2013/09,4,4,9,9,-1,-1,4,5,,
2013/12,4,2,8,6,-3,-3,3,4,,
2014/03,2,2,6,7,-6,-3,2,3,1.1,1.5
2014/06,2,1,7,6,-6,-4,2,4,1.1,1.5
2014/09,2,1,5,5,-8,-6,-1,1,1.1,1.5
2014/12,1,1,4,5,-9,-9,-1,-1,1,1.4
2015/03,0,0,3,4,-10,-9,-2,0,0.9,1.4
2015/06,0,0,2,3,-9,-10,-2,-2,0.9,1.4
2015/09,0,0,1,1,-9,-10,-4,-3,0.7,1.2
2015/12,0,0,3,2,-12,-10,-5,-4,0.5,1
2016/03,2,0,4,3,-11,-12,-3,-4,0.3,0.8
2016/06,2,2,4,3,-10,-10,-3,-1,0.2,0.7
2016/09,1,1,3,3,-12,-10,-5,-3,0.2,0.6
2016/12,0,1,1,3,-13,-13,-6,-5,0.3,0.7
2017/03,0,0,1,2,-15,-13,-8,-6,0.4,0.7
2017/06,-1,0,-1,1,-16,-15,-10,-9,0.4,0.8
2017/09,-1,-1,-1,1,-18,-18,-11,-11,0.5,0.7
2017/12,-2,-1,-2,0,-19,-18,-13,-12,0.6,0.8
2018/03,-4,-3,-4,-2,-22,-20,-18,-13,0.7,0.8
2018/06,-4,-3,-6,-4,-21,-21,-16,-15,0.7,0.9
2018/09,-4,-3,-5,-3,-23,-21,-18,-17,0.8,0.8
2018/12,-4,-3,-5,-3,-23,-23,-19,-18,0.8,0.9
2019/03,-2,-3,-2,-4,-23,-24,-18,-19,0.8,0.9
2019/06,-1,-3,-1,-2,-21,-24,-14,-18,0.7,0.9
2019/09,-1,-1,1,-1,-21,-22,-12,-15,0.6,0.9
2019/12,0,-1,2,0,-21,-22,-11,-14,0.6,0.8
2020/03,1,-1,4,1,-20,-21,-11,-11,0.2,0.5
2020/06,10,0,15,2,-3,-18,9,-11,-0.3,0.3
2020/09,10,7,15,12,-2,-6,6,3,-0.2,0.3
2020/12,8,7,13,11,-4,-5,4,2,-0.1,0.3
2021/03,4,6,6,9,-5,-7,0,0,0.2,0.4
2021/06,2,3,1,4,-7,-8,-2,-3,0.5,0.6
2021/09,1,1,1,1,-8,-8,-5,-5,0.7,0.7
2021/12,2,1,0,1,-12,-10,-9,-6,1.2,1.1
2022/03,-1,-1,-2,-1,-14,-14,-10,-10,2.1,1.8
2022/06,0,-2,0,-2,-16,-16,-10,-11,2.9,2.4
2022/09,-1,-2,0,-2,-17,-18,-11,-13,3.1,2.6
2022/12,-1,-2,1,-1,-21,-20,-14,-14,3.2,2.7
2023/03,-1,-1,1,0,-23,-22,-14,-15,3.3,2.8
2023/06,0,-2,2,-1,-23,-22,-13,-14,3,2.6
2023/09,-1,-2,1,-1,-24,-24,-15,-15,2.8,2.5
2023/12,-1,-2,2,-1,-25,-26,-16,-16,2.6,2.4
2024/03,0,-2,3,-1,-27,-27,-17,-17,2.7,2.4
2024/06,0,-1,3,1,-28,-27,-18,-18,2.8,2.4
2024/09,0,0,2,2,-28,-29,-19,-20,2.8,2.4
2024/12,0,-2,3,0,-28,-30,-18,-22,2.8,2.4
2025/03,0,-1,3,1,-28,-29,-17,-21,2.9,2.5
2025/06,0,-2,2,0,-28,-30,-18,-21,2.9,2.4
2025/09,0,-2,1,0,-28,-30,-19,-22,2.8,2.4
2025/12,-2,-1,0,0,-28,-30,-19,-22,2.7,2.4
2026/03,-1,-3,1,-1,-28,-30,-20,-21,3.1,2.6
2026/06,,-2,,-1,,-31,,-24,,
2026/09,,,,,,,,,,
2026/12,,,,,,,,,,
