date,series_name,value,source_slug,source_url
2008-04-22,US - S&amp;P 500 - Forward PE Ratio,31.9986,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-04-23,US - S&amp;P 500 - Forward PE Ratio,32.0914,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-04-24,US - S&amp;P 500 - Forward PE Ratio,32.2981,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-04-25,US - S&amp;P 500 - Forward PE Ratio,32.5079,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-04-28,US - S&amp;P 500 - Forward PE Ratio,32.4737,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-04-29,US - S&amp;P 500 - Forward PE Ratio,32.3474,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-04-30,US - S&amp;P 500 - Forward PE Ratio,32.223,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-01,US - S&amp;P 500 - Forward PE Ratio,32.7753,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-02,US - S&amp;P 500 - Forward PE Ratio,32.8814,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-05,US - S&amp;P 500 - Forward PE Ratio,32.7323,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-06,US - S&amp;P 500 - Forward PE Ratio,32.9828,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-07,US - S&amp;P 500 - Forward PE Ratio,32.3853,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-08,US - S&amp;P 500 - Forward PE Ratio,32.5042,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-09,US - S&amp;P 500 - Forward PE Ratio,32.2856,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-12,US - S&amp;P 500 - Forward PE Ratio,32.6414,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-13,US - S&amp;P 500 - Forward PE Ratio,32.6288,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-14,US - S&amp;P 500 - Forward PE Ratio,32.7595,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-15,US - S&amp;P 500 - Forward PE Ratio,33.1063,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-16,US - S&amp;P 500 - Forward PE Ratio,33.1477,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-19,US - S&amp;P 500 - Forward PE Ratio,33.1774,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-20,US - S&amp;P 500 - Forward PE Ratio,32.8698,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-21,US - S&amp;P 500 - Forward PE Ratio,32.3421,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-22,US - S&amp;P 500 - Forward PE Ratio,32.4267,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-23,US - S&amp;P 500 - Forward PE Ratio,31.9984,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-27,US - S&amp;P 500 - Forward PE Ratio,32.2174,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-28,US - S&amp;P 500 - Forward PE Ratio,32.3451,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-29,US - S&amp;P 500 - Forward PE Ratio,32.5177,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-05-30,US - S&amp;P 500 - Forward PE Ratio,32.567,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-02,US - S&amp;P 500 - Forward PE Ratio,32.2249,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-03,US - S&amp;P 500 - Forward PE Ratio,32.0384,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-04,US - S&amp;P 500 - Forward PE Ratio,32.0279,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-05,US - S&amp;P 500 - Forward PE Ratio,32.6523,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-06,US - S&amp;P 500 - Forward PE Ratio,31.6437,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-09,US - S&amp;P 500 - Forward PE Ratio,31.6688,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-10,US - S&amp;P 500 - Forward PE Ratio,31.5916,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-11,US - S&amp;P 500 - Forward PE Ratio,31.0579,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-12,US - S&amp;P 500 - Forward PE Ratio,31.1598,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-13,US - S&amp;P 500 - Forward PE Ratio,31.6286,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-16,US - S&amp;P 500 - Forward PE Ratio,31.6312,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-17,US - S&amp;P 500 - Forward PE Ratio,31.417,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-18,US - S&amp;P 500 - Forward PE Ratio,31.1119,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-19,US - S&amp;P 500 - Forward PE Ratio,31.2286,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-20,US - S&amp;P 500 - Forward PE Ratio,30.6495,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-23,US - S&amp;P 500 - Forward PE Ratio,30.6512,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-24,US - S&amp;P 500 - Forward PE Ratio,30.5649,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-25,US - S&amp;P 500 - Forward PE Ratio,30.7435,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-26,US - S&amp;P 500 - Forward PE Ratio,29.8407,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-27,US - S&amp;P 500 - Forward PE Ratio,29.7298,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-06-30,US - S&amp;P 500 - Forward PE Ratio,29.7674,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-01,US - S&amp;P 500 - Forward PE Ratio,32.2923,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-02,US - S&amp;P 500 - Forward PE Ratio,31.7044,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-03,US - S&amp;P 500 - Forward PE Ratio,31.7391,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-07,US - S&amp;P 500 - Forward PE Ratio,31.473,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-08,US - S&amp;P 500 - Forward PE Ratio,32.0106,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-09,US - S&amp;P 500 - Forward PE Ratio,31.2815,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-10,US - S&amp;P 500 - Forward PE Ratio,31.5001,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-11,US - S&amp;P 500 - Forward PE Ratio,31.1508,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-14,US - S&amp;P 500 - Forward PE Ratio,30.8696,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-15,US - S&amp;P 500 - Forward PE Ratio,30.533,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-16,US - S&amp;P 500 - Forward PE Ratio,31.2983,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-17,US - S&amp;P 500 - Forward PE Ratio,31.6743,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-18,US - S&amp;P 500 - Forward PE Ratio,31.6833,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-21,US - S&amp;P 500 - Forward PE Ratio,31.6662,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-22,US - S&amp;P 500 - Forward PE Ratio,32.0935,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-23,US - S&amp;P 500 - Forward PE Ratio,32.2239,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-24,US - S&amp;P 500 - Forward PE Ratio,31.4788,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-25,US - S&amp;P 500 - Forward PE Ratio,31.61,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-28,US - S&amp;P 500 - Forward PE Ratio,31.0221,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-29,US - S&amp;P 500 - Forward PE Ratio,31.7467,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-30,US - S&amp;P 500 - Forward PE Ratio,32.2759,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
2008-07-31,US - S&amp;P 500 - Forward PE Ratio,31.8517,sp500-forward-pe-ratio,https://en.macromicro.me/series/20052/sp500-forward-pe-ratio
