＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
165120017,FUT_NKDV_310331,,203012,,1044.5,,,,,1754,日経平均配当
166120017,FUT_NKDV_320331,,203112,,1044.5,,,,,2120,日経平均配当
167120017,FUT_NKDV_330331,,203212,,1044.5,,,,,2485,日経平均配当
168120017,FUT_NKDV_340331,,203312,,1044.5,,,,,2852,日経平均配当
161060001,FUT_JBL_260615,,202606,,129.03,,,,,10,長期国債
161090001,FUT_JBL_260914,,202609,,127.78,,,,,104,長期国債
161120001,FUT_JBL_261214,,202612,,127.27,,,,,192,長期国債
161060007,FUT_JBLM_260612,,202606,,129.03,,,,,3,長期国債
161090007,FUT_JBLM_260911,,202609,,127.78,,,,,94,長期国債
161120007,FUT_JBLM_261211,,202612,,127.27,,,,,185,長期国債
161060004,FUT_JBM_260615,,202606,,104.76,,,,,10,中期国債
161090004,FUT_JBM_260914,,202609,,104.31,,,,,104,中期国債
161120004,FUT_JBM_261214,,202612,,103.85,,,,,192,中期国債
161060002,FUT_JBS_260615,,202606,,93.25,,,,,10,超長期国債
161090002,FUT_JBS_260914,,202609,,92.52,,,,,104,超長期国債
161120002,FUT_JBS_261214,,202612,,92.06,,,,,192,超長期国債
161030091,FUT_TOA3M_260616,,202603,,99.2675,,,,,5,無担保コールO/N物レート
161060091,FUT_TOA3M_260915,,202606,,99.0275,,,,,96,無担保コールO/N物レート
161090091,FUT_TOA3M_261215,,202609,,98.93,,,,,187,無担保コールO/N物レート
161120091,FUT_TOA3M_270316,,202612,,98.77,,,,,278,無担保コールO/N物レート
162030091,FUT_TOA3M_270615,,202703,,98.6525,,,,,369,無担保コールO/N物レート
162060091,FUT_TOA3M_270914,,202706,,98.515,,,,,460,無担保コールO/N物レート
162090091,FUT_TOA3M_271214,,202709,,98.38,,,,,551,無担保コールO/N物レート
162120091,FUT_TOA3M_280314,,202712,,98.27,,,,,642,無担保コールO/N物レート
163030091,FUT_TOA3M_280620,,202803,,98.1775,,,,,740,無担保コールO/N物レート
163060091,FUT_TOA3M_280919,,202806,,98.105,,,,,831,無担保コールO/N物レート
163090091,FUT_TOA3M_281219,,202809,,98.0375,,,,,922,無担保コールO/N物レート
163120091,FUT_TOA3M_290319,,202812,,97.9725,,,,,1013,無担保コールO/N物レート
164030091,FUT_TOA3M_290619,,202903,,97.905,,,,,1104,無担保コールO/N物レート
164060091,FUT_TOA3M_290918,,202906,,97.84,,,,,1195,無担保コールO/N物レート
164090091,FUT_TOA3M_291218,,202909,,97.7775,,,,,1286,無担保コールO/N物レート
164120091,FUT_TOA3M_300319,,202912,,97.715,,,,,1378,無担保コールO/N物レート
165030091,FUT_TOA3M_300618,,203003,,97.6575,,,,,1468,無担保コールO/N物レート
165060091,FUT_TOA3M_300917,,203006,,97.6,,,,,1559,無担保コールO/N物レート
165090091,FUT_TOA3M_301217,,203009,,97.5475,,,,,1650,無担保コールO/N物レート
165120091,FUT_TOA3M_310318,,203012,,97.495,,,,,1741,無担保コールO/N物レート
161090011,FUT_MOTH_260910,,202609,,726,726,724.49,,1.3783,91,東証グロース市場250指数
161120011,FUT_MOTH_261210,,202612,,728,728,724.49,,1.4959,182,東証グロース市場250指数
162030011,FUT_MOTH_270311,,202703,,728,728,724.49,,1.3759,273,東証グロース市場250指数
162060011,FUT_MOTH_270610,,202706,,730,730,724.49,,1.3759,364,東証グロース市場250指数
162090011,FUT_MOTH_270909,,202709,,731,731,724.49,,1.3759,455,東証グロース市場250指数
161060078,FUT_TAIX_260616,,202606,,44198,,44169.04,,,5,台湾加権
161070078,FUT_TAIX_260714,,202607,,44269,,44169.04,,,33,台湾加権
161090078,FUT_TAIX_260915,,202609,,44568,,44169.04,,,96,台湾加権
161120078,FUT_TAIX_261215,,202612,,45192,,44169.04,,,187,台湾加権
162030078,FUT_TAIX_270316,,202703,,46083,,44169.04,,,278,台湾加権
161060079,FUT_FT50_260629,,202606,,15725,,16034.96,,,18,FTSE中国50
161070079,FUT_FT50_260730,,202607,,15705,,16034.96,,,49,FTSE中国50
161090079,FUT_FT50_260929,,202609,,15665,,16034.96,,,110,FTSE中国50
161120079,FUT_FT50_261230,,202612,,15730,,16034.96,,,206,FTSE中国50
161070015,FUT_NVI_260714,,202607,,36.9,,37.28,,,33,日経平均VI
161080015,FUT_NVI_260810,,202608,,36.15,,37.28,,,61,日経平均VI
161090015,FUT_NVI_260908,,202609,,35.55,,37.28,,,89,日経平均VI
