date,total_pcr,index_pcr,etp_pcr,equity_pcr,vix_pcr,spx_pcr
07/19/2023,0.83,1.13,0.90,0.48,0.76,1.34
07/20/2023,0.87,1.09,1.06,0.61,0.40,1.38
07/21/2023,0.85,1.18,1.09,0.56,0.19,1.43
07/24/2023,0.82,1.03,1.19,0.50,0.24,1.44
07/25/2023,0.87,1.11,1.09,0.58,0.52,1.34
07/26/2023,0.96,1.44,1.09,0.55,0.86,1.60
07/27/2023,0.96,1.29,1.11,0.56,0.92,1.37
07/28/2023,0.92,1.10,1.10,0.71,0.30,1.30
07/31/2023,0.90,1.22,1.05,0.56,0.48,1.45
08/01/2023,0.84,0.96,1.12,0.58,0.27,1.32
08/02/2023,0.97,1.22,1.01,0.62,0.89,1.42
08/03/2023,0.88,1.09,0.91,0.62,0.42,1.43
08/04/2023,1.01,1.29,1.17,0.66,0.69,1.45
08/07/2023,1.03,1.31,1.34,0.65,0.47,1.51
08/08/2023,1.00,1.16,1.29,0.65,0.71,1.33
08/09/2023,0.98,1.13,1.17,0.68,0.63,1.32
08/10/2023,1.07,1.29,1.18,0.70,1.05,1.36
08/11/2023,1.00,1.15,1.13,0.80,0.39,1.43
08/14/2023,0.97,1.10,1.15,0.70,0.52,1.39
08/15/2023,1.05,1.20,1.18,0.75,0.75,1.41
08/16/2023,1.26,1.24,1.57,1.03,0.68,1.44
08/17/2023,1.09,1.12,1.21,0.97,0.32,1.52
08/18/2023,1.12,1.38,1.25,0.76,0.77,1.62
08/21/2023,0.91,1.17,1.12,0.55,0.44,1.32
08/22/2023,0.95,1.10,1.06,0.68,0.56,1.30
08/23/2023,1.18,1.26,1.48,0.89,0.34,1.48
08/24/2023,1.12,1.32,1.26,0.79,0.76,1.35
08/25/2023,1.11,1.16,1.20,0.97,0.25,1.39
08/28/2023,1.04,1.17,1.14,0.77,0.42,1.37
08/29/2023,0.96,1.03,1.29,0.69,0.26,1.23
08/30/2023,1.09,1.17,1.31,0.86,0.57,1.30
08/31/2023,0.95,1.04,1.23,0.67,0.30,1.46
09/01/2023,1.04,1.37,1.16,0.65,0.65,1.54
09/05/2023,1.05,1.26,1.23,0.74,0.59,1.45
09/06/2023,1.23,1.27,1.50,0.98,0.46,1.46
09/07/2023,1.12,1.28,1.38,0.81,0.63,1.43
09/08/2023,1.05,1.29,1.21,0.75,0.32,1.54
09/11/2023,1.01,1.21,1.30,0.70,0.28,1.48
09/12/2023,0.99,1.05,1.15,0.84,0.39,1.20
09/13/2023,1.27,1.23,1.62,1.14,0.79,1.47
09/14/2023,1.07,1.20,1.14,0.85,0.44,1.48
09/15/2023,0.94,1.04,1.08,0.70,0.43,1.44
09/18/2023,1.03,1.19,1.52,0.61,0.56,1.43
09/19/2023,0.91,0.94,1.02,0.76,0.46,1.32
09/20/2023,1.08,1.12,1.38,0.79,0.43,1.47
09/21/2023,1.15,1.25,1.23,0.88,0.78,1.45
09/22/2023,1.16,1.28,1.30,0.85,0.51,1.57
