Cache staleness audit  (NOW=2026-06-11)  files=754
========================================================================================================================
FLAGGED total: 307   STUCK(writer-runs,data-frozen): 153   WRITER_STOPPED: 95   LAGGING: 59
no-extractable-date: 40   parse_errors: 0

CAT              OVR FREQ         INTV LATEST      d_late UPDATED      d_upd      N  FILE
STUCK            2.1 quarterly    91.5 2025-12-01     192 2026-06-09       1    155  newzealand/economy/nz_current_account_gdp_ratio_cache.json
STUCK            2.1 quarterly    91.5 2025-12-01     192 2026-06-10       0    154  newzealand/economy/nz_gdp_growth_rate_cache.json
STUCK            2.1 quarterly    91.5 2025-12-01     192 2026-06-10       0    155  newzealand/economy/nz_gdp_item_cache.json
STUCK            2.1 quarterly    91.5 2025-12-01     192 2026-06-08       2    104  switzerland/economy/ch_current_account_cache.json
STUCK            2.1 quarterly    91.5 2025-12-01     192 2026-06-08       2    104  switzerland/economy/ch_current_account_gdp_ratio_cache.json
STUCK            2.1 quarterly    91.5 2025-12-01     192 2026-06-09       1    284  uk/economy/uk_current_account_cache.json
STUCK            2.0 weekly        7.0 2026-05-28      14 2026-06-11      -1    404  usa/consumer/carts_weekly_cache.json
WRITER_STOPPED 174.0 daily         1.0 2025-12-19     174 None          None    479  market/advance_decline_daily_ad.json
WRITER_STOPPED  97.0 daily         1.0 2026-03-06      97 2026-03-08      94   3900  global/economy/usd_fundamental_index_cache.json
WRITER_STOPPED  97.0 daily         1.0 2026-03-06      97 2026-03-07      95  15040  global/economy/us_daily_epu_cache.json
WRITER_STOPPED  84.0 daily         1.0 2026-03-19      84 2026-03-21      81   3666  market/nikkei225_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   2950  market/aluminum_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3905  market/audcad_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3903  market/audchf_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3904  market/audnzd_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3900  market/audusd_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3741  market/brent_oil_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3832  market/cac40_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3901  market/cadchf_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3769  market/copper_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3800  market/dax_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3769  market/dow_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3770  market/dxy_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3754  market/eurostoxx50_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3901  market/eurusd_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3784  market/ftse100_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3903  market/gbpaud_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3903  market/gbpcad_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3901  market/gbpchf_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3903  market/gbpnzd_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3901  market/gbpusd_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3769  market/nasdaq100_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3769  market/nasdaq_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3902  market/nzdcad_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3899  market/nzdchf_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3901  market/nzdusd_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3767  market/platinum_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3769  market/russell2000_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3654  market/twii_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3900  market/usdcad_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3898  market/usdchf_cache.json
WRITER_STOPPED  83.0 daily         1.0 2026-03-20      83 2026-03-21      81   3769  market/vix_cache.json
WRITER_STOPPED  76.0 daily         1.0 2026-03-27      76 2026-03-29      73   3900  market/usdjpy_cache.json
WRITER_STOPPED  72.0 daily         1.0 2026-03-31      72 2026-04-01      70   3769  market/sp500_cache.json
WRITER_STOPPED  61.0 daily         1.0 2026-04-11      61 None          None   4470  china/economy/cn_beijing_pm25_cache.json
WRITER_STOPPED  56.0 daily         1.0 2026-04-16      56 2026-04-18      53   1824  market/eu_natural_gas_storage_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3905  market/audjpy_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3904  market/cadjpy_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3904  market/chfjpy_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3904  market/euraud_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3904  market/eurcad_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3902  market/eurchf_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3904  market/eurgbp_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3904  market/eurjpy_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3904  market/eurnzd_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3903  market/gbpjpy_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3903  market/nzdjpy_cache.json
WRITER_STOPPED  55.0 daily         1.0 2026-04-17      55 2026-04-18      53   3768  market/sox_cache.json
WRITER_STOPPED  34.0 daily         1.0 2026-05-08      34 2026-05-14      27   6013  market/gold_premium_cache.json
WRITER_STOPPED  31.0 daily         1.0 2026-05-11      31 2026-05-13      28   2110  uk/monetary_policy/sonia_cache.json
WRITER_STOPPED  30.0 daily         1.0 2026-05-12      30 2026-05-12      29   5976  eurozone/monetary_policy/ecb_rates_cache.json
WRITER_STOPPED  29.0 daily         1.0 2026-05-13      29 2026-05-14      27   1721  market/china_gold_etf_balance_data_cache.json
WRITER_STOPPED  29.0 daily         1.0 2026-05-13      29 2026-05-14      27   3768  market/gold_cache.json
WRITER_STOPPED  29.0 daily         1.0 2026-05-13      29 2026-05-14      27   4711  market/gold_etf_holdings_cache.json
WRITER_STOPPED  29.0 daily         1.0 2026-05-13      29 2026-05-14      27    569  market/sge_gold_cache.json
WRITER_STOPPED  29.0 daily         1.0 2026-05-13      29 2026-05-14      27   3768  market/silver_cache.json
WRITER_STOPPED  29.0 daily         1.0 2026-05-13      29 2026-05-14      27   3769  market/tsmc_cache.json
WRITER_STOPPED  27.0 daily         1.0 2026-05-15      27 2026-05-16      25   3770  market/natural_gas_cache.json
WRITER_STOPPED  20.1 weekly        7.0 2026-01-21     141 2026-01-23     138   1206  usa/monetary_policy/reserve_balances_wresbal_cache.json
WRITER_STOPPED  17.0 daily         1.0 2026-05-25      17 None          None   2174  china/policy/ch_reverse_repo_rate_cache.json
WRITER_STOPPED  17.0 daily         1.0 2026-05-25      17 None          None   1842  china/policy/cn_fixing_repo_rate_cache.json
WRITER_STOPPED  17.0 daily         1.0 2026-05-25      17 None          None   2590  china/policy/cn_shibor_cache.json
WRITER_STOPPED  13.0 daily         1.0 2026-05-29      13 2026-06-01       9   3768  market/crude_oil_cache.json
WRITER_STOPPED  13.0 daily         1.0 2026-05-29      13 2026-06-01       9   3664  market/nt_magnification_cache.json
WRITER_STOPPED  11.3 daily         1.5 2026-05-25      17 None          None    918  market/nikkei225_options_atm_iv_history.json
WRITER_STOPPED  11.3 daily         1.5 2026-05-25      17 2026-05-25      16    918  market/nikkei225_options_cache.json
WRITER_STOPPED   7.2 monthly      31.0 2025-11-01     222 2026-01-30     131    131  eurozone/economy/ecb_current_account_cache.json
WRITER_STOPPED   7.2 monthly        31 2025-11-01     222 2026-02-28     102     12  eurozone/economy/eu_terms_of_trade_cache.json
WRITER_STOPPED   6.2 monthly      31.0 2025-12-01     192 2026-02-21     109    654  australia/housing/au_international_trade_cache.json
WRITER_STOPPED   6.2 monthly      31.0 2025-12-01     192 None          None    192  china/economy/cn_trade_balance_cache.json
WRITER_STOPPED   6.2 monthly      31.0 2025-12-01     192 2026-02-28     102    132  eurozone/economy/eu_international_trade_cache.json
WRITER_STOPPED   6.2 monthly      31.0 2025-12-01     192 None          None     24  market/advance_decline_prime_codes.json
WRITER_STOPPED   6.2 monthly      31.0 2025-12-01     192 2026-01-17     144     72  uk/economic_outlook/boe_cpi_components_cache.json
WRITER_STOPPED   6.2 monthly      31.0 2025-12-01     192 2026-02-08     122    345  usa/employment/atlanta_fed_wage_cache.json
WRITER_STOPPED   5.2 monthly      31.0 2025-12-31     162 2026-02-22     108     78  australia/policy/au_housing_lending_rates_cache.json
WRITER_STOPPED   5.2 monthly      31.0 2025-12-31     162 2026-02-23     107    109  newzealand/policy/nz_bank_balance_sheet_cache.json
WRITER_STOPPED   4.2 monthly      31.0 2026-01-31     131 None          None    129  china/policy/ch_cbs_cache.json
