Database:Monthly
Month:2024-
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024
Inventories of Processing of Food from Agricultural Products Accumulated Growth Rate(%),,,5.1,5.2,3.4,4.2,3.5,2.0,2.3,1.3,0.4,2.2,2.2,,-3.0,-5.2,-4.7,-4.7,-3.4,-2.5,-3.0,-1.7,-2.0,-4.4,-5.7,
Inventories of Manufacture of Foods month-end(100 million yuan),,,2658.20,2587.20,2509.40,2487.00,2497.90,2494.90,2500.30,2545.80,2584.30,2602.70,2613.80,,2632.70,2550.40,2453.30,2414.10,2416.50,2411.40,2370.20,2404.40,2436.60,2425.80,2399.80,
Inventories of Manufacture of Foods The Same Period of Previous Year(100 million yuan),,,2667.00,2581.20,2485.00,2445.50,2444.90,2437.50,2399.00,2427.50,2445.40,2437.30,2414.50,,2511.50,2483.90,2449.30,2390.50,2378.40,2370.40,2363.00,2408.20,2428.70,2439.40,2412.00,
Inventories of Manufacture of Foods Accumulated Growth Rate(%),,,-0.3,0.2,1.0,1.7,2.2,2.4,4.2,4.9,5.7,6.8,8.3,,4.8,2.7,0.2,1.0,1.6,1.7,0.3,-0.2,0.3,-0.6,-0.5,
Inventories of Manufacture of Wine Beverages and Refined Tea month-end(100 million yuan),,,5490.80,5353.20,5247.40,5218.70,5230.60,5165.70,5116.60,5125.20,5077.80,4994.10,4962.90,,5122.50,4929.00,4802.70,4748.70,4741.50,4721.40,4699.00,4660.30,4647.80,4544.50,4486.50,
Inventories of Manufacture of Wine Beverages and Refined Tea The Same Period of Previous Year(100 million yuan),,,5064.70,4881.30,4762.90,4706.90,4704.20,4674.60,4647.20,4605.00,4591.60,4495.80,4434.80,,4623.20,4466.20,4349.40,4289.60,4296.50,4249.90,4235.60,4243.60,4172.00,4115.80,4005.10,
Inventories of Manufacture of Wine Beverages and Refined Tea Accumulated Growth Rate(%),,,8.4,9.7,10.2,10.9,11.2,10.5,10.1,11.3,10.6,11.1,11.9,,10.8,10.4,10.4,10.7,10.4,11.1,10.9,9.8,11.4,10.4,12.0,
Inventories of Manufacture of Tobacco month-end(100 million yuan),,,4451.00,4366.80,4231.70,4193.90,4145.80,4250.80,4356.90,4373.90,4369.50,4346.90,4227.30,,4394.40,4275.70,4182.00,4086.00,4025.10,4099.50,4206.80,4231.40,4215.50,4162.30,4081.10,
Inventories of Manufacture of Tobacco The Same Period of Previous Year(100 million yuan),,,4395.30,4276.40,4182.80,4086.60,4025.70,4100.10,4207.40,4231.90,4216.00,4162.40,4081.20,,4325.60,4156.10,3982.20,3904.80,3921.40,3991.80,4091.60,4094.30,4115.70,4062.60,3982.30,
Inventories of Manufacture of Tobacco Accumulated Growth Rate(%),,,1.3,2.1,1.2,2.6,3.0,3.7,3.6,3.4,3.6,4.4,3.6,,1.6,2.9,5.0,4.6,2.6,2.7,2.8,3.3,2.4,2.5,2.5,
Inventories of Manufacture of Textile month-end(100 million yuan),,,4060.90,4084.80,4063.70,4062.90,4056.00,4020.10,4015.30,4003.30,4015.70,3989.00,3925.50,,4029.50,4063.20,4025.70,4017.20,4007.40,4000.40,3970.90,3910.80,3861.40,3818.80,3755.00,
Inventories of Manufacture of Textile The Same Period of Previous Year(100 million yuan),,,4069.40,4100.10,4060.20,4049.60,4041.20,4026.40,3982.90,3928.00,3872.90,3824.50,3757.00,,3867.20,3899.00,3856.50,3812.50,3781.20,3720.20,3685.80,3629.60,3584.20,3546.00,3469.40,
Inventories of Manufacture of Textile Accumulated Growth Rate(%),,,-0.2,-0.4,0.1,0.3,0.4,-0.2,0.8,1.9,3.7,4.3,4.5,,4.2,4.2,4.4,5.4,6.0,7.5,7.7,7.7,7.7,7.7,8.2,
Inventories of Manufacture of Textile Wearing Apparel and Clothing month-end(100 million yuan),,,1828.60,1872.10,1877.70,1901.60,1894.70,1899.10,1879.80,1865.20,1838.10,1809.40,1789.00,,1923.40,1965.80,1967.30,1961.60,1953.40,1944.00,1892.20,1838.50,1788.00,1739.90,1709.70,
Inventories of Manufacture of Textile Wearing Apparel and Clothing The Same Period of Previous Year(100 million yuan),,,1907.40,1946.10,1949.30,1949.60,1940.60,1932.40,1884.20,1823.80,1770.20,1722.90,1690.10,,1820.10,1857.10,1862.80,1852.40,1864.30,1844.80,1817.80,1785.60,1749.40,1727.10,1693.00,
Inventories of Manufacture of Textile Wearing Apparel and Clothing Accumulated Growth Rate(%),,,-4.1,-3.8,-3.7,-2.5,-2.4,-1.7,-0.2,2.3,3.8,5.0,5.9,,5.7,5.9,5.6,5.9,4.8,5.4,4.1,3.0,2.2,0.7,1.0,
Inventories of Manufacture of Leather Fur Feather and Related Products month-end(100 million yuan),,,1044.80,1047.60,1051.70,1046.50,1047.90,1051.40,1050.30,1048.10,1044.60,1024.90,1013.20,,1082.30,1089.30,1075.70,1066.00,1062.40,1056.60,1055.00,1046.00,1024.10,999.00,975.20,
Inventories of Manufacture of Leather Fur Feather and Related Products The Same Period of Previous Year(100 million yuan),,,1088.70,1095.00,1086.20,1077.80,1073.50,1066.10,1061.00,1051.60,1035.00,1008.50,984.00,,1065.00,1067.60,1063.60,1046.50,1040.40,1037.60,1037.60,1035.00,1016.40,995.10,965.90,
Inventories of Manufacture of Leather Fur Feather and Related Products Accumulated Growth Rate(%),,,-4.0,-4.3,-3.2,-2.9,-2.4,-1.4,-1.0,-0.3,0.9,1.6,3.0,,1.6,2.0,1.1,1.9,2.1,1.8,1.7,1.1,0.8,0.4,1.0,
Inventories of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products month-end(100 million yuan),,,974.30,992.30,992.30,1003.50,1007.00,1010.00,1010.40,1015.00,1009.90,990.10,957.80,,1017.40,1033.30,1030.40,1010.70,1012.10,1010.50,1011.60,1007.80,995.20,974.30,945.00,
Inventories of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products The Same Period of Previous Year(100 million yuan),,,1015.80,1032.40,1038.10,1022.60,1025.60,1022.40,1021.00,1019.00,1003.60,979.90,947.30,,1009.70,1025.10,1010.10,995.40,995.90,1000.00,997.20,991.70,997.10,975.80,939.50,
Inventories of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products Accumulated Growth Rate(%),,,-4.1,-3.9,-4.4,-1.9,-1.8,-1.2,-1.0,-0.4,0.6,1.0,1.1,,0.8,0.8,2.0,1.5,1.6,1.1,1.4,1.6,-0.2,-0.2,0.6,
Inventories of Manufacture of Furniture month-end(100 million yuan),,,869.70,898.50,891.00,891.90,880.60,866.90,859.30,861.70,861.10,855.40,851.50,,923.10,942.40,932.40,925.10,915.80,902.70,893.30,893.50,885.20,877.30,863.50,
Inventories of Manufacture of Furniture The Same Period of Previous Year(100 million yuan),,,916.30,936.30,927.50,919.60,910.30,896.40,888.20,888.50,877.70,871.90,857.60,,919.80,932.30,926.50,916.00,904.60,891.30,879.20,884.60,870.20,873.10,853.00,
Inventories of Manufacture of Furniture Accumulated Growth Rate(%),,,-5.1,-4.0,-3.9,-3.0,-3.3,-3.3,-3.3,-3.0,-1.9,-1.9,-0.7,,0.4,1.1,0.6,1.0,1.2,1.3,1.6,1.0,1.7,0.5,1.2,
Inventories of Manufacture of Paper and Paper Products month-end(100 million yuan),,,1845.80,1798.50,1767.80,1784.50,1807.90,1815.50,1838.80,1822.40,1846.50,1814.20,1785.60,,1762.70,1751.40,1782.10,1796.80,1798.80,1797.00,1803.50,1831.30,1834.00,1793.10,1736.30,
Inventories of Manufacture of Paper and Paper Products The Same Period of Previous Year(100 million yuan),,,1764.50,1754.80,1786.70,1802.90,1807.10,1802.10,1804.90,1833.60,1835.60,1795.10,1742.10,,1776.20,1727.60,1688.60,1673.00,1713.10,1752.50,1791.70,1828.10,1838.30,1845.10,1836.60,
Inventories of Manufacture of Paper and Paper Products Accumulated Growth Rate(%),,,4.6,2.5,-1.1,-1.0,0.0,0.7,1.9,-0.6,0.6,1.1,2.5,,-0.8,1.4,5.5,7.4,5.0,2.5,0.7,0.2,-0.2,-2.8,-5.5,
Inventories of Printing Reproduction of Recording Media month-end(100 million yuan),,,816.00,828.80,827.20,830.30,835.30,824.60,811.30,817.90,814.30,814.10,799.20,,813.40,805.70,806.40,806.40,805.80,794.50,789.50,782.60,783.20,776.40,763.60,
Inventories of Printing Reproduction of Recording Media The Same Period of Previous Year(100 million yuan),,,817.70,810.40,813.10,814.10,813.00,800.20,796.40,788.30,789.10,780.70,767.40,,787.00,797.50,793.60,787.70,785.80,779.00,762.20,764.30,764.40,766.30,764.20,
