2015年7月15日 (6月),11:00,6.80%,6.00%,6.10%
2015年8月12日 (7月),14:30,6.00%,6.60%,6.80%
2015年9月13日 (8月),14:30,6.10%,6.40%,6.00%
2015年10月19日 (9月),11:00,5.70%,6.00%,6.10%
2015年11月11日 (10月),14:30,5.60%,5.80%,5.70%
2015年12月12日 (11月),14:30,6.20%,5.60%,5.60%
2016年1月19日 (12月),11:00,5.90%,6.00%,6.20%
2016年3月12日 (1月),14:30,5.40%,5.60%,5.90%
2016年4月15日 (3月),11:00,6.80%,5.90%,5.40%
2016年5月14日 (4月),14:30,6.00%,6.50%,6.80%
2016年6月13日 (5月),11:00,6.00%,5.90%,6.00%
2016年7月15日 (6月),11:00,6.20%,5.90%,6.00%
2016年8月12日 (7月),11:00,6.00%,6.10%,6.20%
2016年9月13日 (8月),11:00,6.30%,6.10%,6.00%
2016年10月19日 (9月),11:00,6.10%,6.40%,6.30%
2016年11月14日 (10月),11:00,6.10%,6.20%,6.10%
2016年12月13日 (11月),11:00,6.20%,6.10%,6.10%
2017年1月20日 (12月),11:00,6.00%,6.10%,6.20%
2017年3月14日 (1月),11:00,6.30%,6.20%,6.00%
2017年4月17日 (3月),11:00,7.60%,6.30%,6.30%
2017年5月15日 (4月),11:00,6.50%,7.10%,7.60%
2017年6月14日 (5月),11:00,6.50%,6.30%,6.50%
2017年7月17日 (6月),11:00,7.60%,6.50%,6.50%
2017年8月14日 (7月),11:00,6.40%,7.20%,7.60%
2017年9月14日 (8月),11:00,6.00%,6.60%,6.40%
2017年10月19日 (9月),11:00,6.60%,6.20%,6.00%
2017年11月14日 (10月),11:00,6.20%,6.30%,6.60%
2017年12月14日 (11月),11:00,6.10%,6.20%,6.20%
2018年1月18日 (12月),16:00,6.20%,6.00%,6.10%
2018年3月14日 (2月),11:00,7.20%,6.30%,6.20%
2018年4月17日 (3月),11:00,6.00%,6.40%,7.20%
2018年5月15日 (4月),11:00,7.00%,6.40%,6.00%
2018年6月14日 (5月),11:00,6.80%,6.90%,7.00%
2018年7月16日 (6月),11:00,6.00%,6.50%,6.80%
2018年8月14日 (7月),11:00,6.00%,6.30%,6.00%
2018年9月14日 (8月),11:00,6.10%,6.00%,6.00%
2018年10月19日 (9月),11:00,5.80%,6.00%,6.10%
2018年11月14日 (10月),11:00,5.90%,5.80%,5.80%
2018年12月14日 (11月),11:00,5.40%,5.90%,5.90%
2019年1月21日 (12月),11:00,5.70%,5.30%,5.40%
2019年3月14日 (2月),11:00,5.30%,5.50%,5.70%
2019年4月17日 (3月),11:00,8.50%,5.60%,5.30%
2019年5月15日 (4月),11:00,5.40%,6.50%,8.50%
2019年5月22日 (4月),11:00,5.40%,6.50%,8.50%
2019年6月14日 (5月),16:00,5.00%,5.40%,5.40%
2019年7月15日 (6月),11:00,6.30%,5.20%,5.00%
2019年8月14日 (7月),11:00,4.80%,6.00%,6.30%
2019年9月16日 (8月),11:00,4.40%,5.20%,4.80%
2019年10月18日 (9月),11:00,5.80%,5.00%,4.40%
2019年11月14日 (10月),11:00,4.70%,5.40%,5.80%
2019年12月16日 (11月),11:00,6.20%,5.00%,4.70%
2020年1月17日 (12月),11:00,6.90%,5.90%,6.20%
2020年3月16日 (2月),11:00,-13.50%,1.50%,6.90%
2020年4月17日 (3月),11:00,-1.10%,-7.30%,-13.50%
2020年5月15日 (4月),11:00,3.90%,1.50%,-1.10%
2020年6月15日 (5月),11:00,4.40%,5.00%,3.90%
2020年7月16日 (6月),11:00,4.80%,4.70%,4.40%
2020年8月14日 (7月),11:00,4.80%,5.10%,4.80%
2020年9月15日 (8月),11:00,5.60%,5.10%,4.80%
2020年10月19日 (9月),11:00,6.90%,5.80%,5.60%
2020年11月16日 (10月),11:00,6.90%,6.50%,6.90%
2020年12月15日 (11月),11:00,7.00%,7.00%,6.90%
2021年1月18日 (12月),11:00,7.30%,6.90%,7.00%
2021年3月15日 (2月),11:00,35.10%,30.00%,7.30%
2021年4月16日 (3月),11:00,14.10%,17.20%,35.10%
2021年5月17日 (4月),11:00,9.80%,9.80%,14.10%
2021年6月16日 (5月),16:00,8.80%,9.00%,9.80%
2021年7月15日 (6月),11:00,8.30%,7.80%,8.80%
2021年8月16日 (7月),11:00,6.40%,7.80%,8.30%
2021年9月15日 (8月),11:00,5.30%,5.80%,6.40%
2021年10月18日 (9月),11:00,3.10%,4.50%,5.30%
2021年11月15日 (10月),11:00,3.50%,3.00%,3.10%
2021年12月15日 (11月),11:00,3.80%,3.60%,3.50%
2022年1月17日 (12月),11:00,4.30%,3.60%,3.80%
2022年3月15日 (2月),11:00,7.50%,3.90%,4.30%
2022年4月18日 (3月),11:00,5.00%,4.50%,7.50%
2022年5月16日 (4月),11:00,-2.90%,0.40%,5.00%
2022年6月15日 (5月),11:00,0.70%,-0.70%,-2.90%
2022年7月15日 (6月),11:00,3.90%,4.10%,0.70%
2022年8月15日 (7月),11:00,3.80%,4.60%,3.90%
2022年9月16日 (8月),11:00,4.20%,3.80%,3.80%
2022年10月24日 (9月),11:00,6.30%,4.50%,4.20%
2022年11月15日 (10月),11:00,5.00%,5.20%,6.30%
2022年12月15日 (11月),11:00,2.20%,3.60%,5.00%
2023年1月17日 (12月),11:00,1.30%,0.20%,2.20%
2023年3月15日 (2月),11:00,2.40%,2.60%,1.30%
2023年4月18日 (3月),11:00,3.90%,4.00%,2.40%
2023年5月16日 (4月),11:00,5.60%,10.90%,3.90%
2023年6月15日 (5月),11:00,3.50%,3.80%,5.60%
2023年7月17日 (6月),11:00,4.40%,2.70%,3.50%
2023年8月15日 (7月),11:00,3.70%,4.40%,4.40%
2023年9月15日 (8月),11:00,4.50%,4.00%,3.70%
2023年10月18日 (9月),11:00,4.50%,4.30%,4.50%
2023年11月15日 (10月),11:00,4.60%,4.40%,4.50%
2023年12月15日 (11月),11:00,6.60%,5.60%,4.60%
2024年1月17日 (12月),11:00,6.80%,6.60%,6.60%
2024年3月18日 (2月),11:00,7.00%,5.30%,6.80%
2024年4月16日 (3月),11:00,4.50%,6.00%,7.00%
2024年5月17日 (4月),11:00,6.70%,5.50%,4.50%
2024年6月17日 (5月),11:00,5.60%,6.20%,6.70%
2024年7月15日 (6月),11:00,5.30%,4.90%,5.60%
2024年8月15日 (7月),11:00,5.10%,5.20%,5.30%
2024年9月14日 (8月),11:00,4.50%,4.70%,5.10%
2024年10月18日 (9月),11:00,5.40%,4.60%,4.50%
2024年11月15日 (10月),11:00,5.30%,5.50%,5.40%
2024年12月16日 (11月),11:00,5.40%,5.40%,5.30%
2025年1月17日 (12月),11:00,6.20%,5.40%,5.40%
2025年3月17日 (2月),11:00,5.90%,5.30%,6.20%
2025年4月16日 (3月),11:00,7.70%,5.90%,5.90%
2025年5月19日 (4月),11:00,6.10%,5.70%,7.70%
2025年6月16日 (5月),11:00,5.80%,5.90%,6.10%
2025年7月15日 (6月),11:00,6.80%,5.60%,5.80%
2025年8月15日 (7月),11:00,5.70%,6.00%,6.80%
2025年9月15日 (8月),11:00,5.20%,5.70%,5.70%
2025年10月20日 (9月),11:00,6.50%,5.00%,5.20%
2025年11月14日 (10月),11:00,4.90%,5.50%,6.50%
2025年12月15日 (11月),11:00,4.80%,5.00%,4.90%
2026年1月19日 (12月),11:00,5.20%,5.10%,4.80%
2026年3月16日 (2月),11:00,6.30%,5.30%,5.20%
2026年4月16日 (3月),11:00,5.70%,5.40%,6.30%
2026年5月18日 (4月),11:00,4.10%,6.00%,5.70%
2026年6月16日 (5月),11:00,4.50%,4.40%,4.10%
