公表日,時間,結果,予想,前回
"Nov 02, 2022",5:30,-6.53M,0.267M,4.52M
"Nov 09, 2022",6:30,5.618M,1.1M,-6.53M
"Nov 16, 2022",6:30,-5.835M,,5.618M
"Nov 23, 2022",6:30,-4.8M,-2.2M,-5.835M
"Nov 30, 2022",6:30,-7.85M,-2.487M,-4.819M
"Dec 07, 2022",6:30,-6.426M,-3.884M,-7.85M
"Dec 14, 2022",6:30,7.819M,-3.913M,-6.426M
"Dec 21, 2022",6:30,-3.069M,-0.167M,7.819M
"Dec 29, 2022",6:30,-1.3M,,-3.069M
"Jan 05, 2023",6:30,3.298M,,-1.3M
"Jan 11, 2023",6:30,14.865M,-2.375M,3.298M
"Jan 19, 2023",6:30,7.615M,-1.75M,14.865M
"Jan 25, 2023",6:30,3.378M,1.6M,7.615M
"Feb 01, 2023",6:30,6.33M,-1M,3.378M
"Feb 08, 2023",6:30,-2.184M,2.15M,6.33M
"Feb 15, 2023",6:30,10.507M,0.321M,-2.184M
"Feb 23, 2023",6:30,9.895M,1.233M,10.507M
"Mar 01, 2023",6:30,6.203M,0.44M,9.895M
"Mar 08, 2023",6:30,-3.835M,-0.308M,6.203M
"Mar 15, 2023",5:30,1.155M,0.555M,-3.835M
"Mar 22, 2023",5:30,3.262M,-1.448M,1.155M
"Mar 29, 2023",5:30,-6.076M,0.187M,3.262M
"Apr 05, 2023",5:30,-4.346M,-1.8M,-6.076M
"Apr 12, 2023",5:30,0.377M,-1.3M,-4.346M
"Apr 19, 2023",5:30,-2.675M,-2.464M,0.377M
"Apr 26, 2023",5:30,-6.083M,-1.667M,-2.675M
"May 03, 2023",5:30,-3.939M,-1M,-6.083M
"May 10, 2023",5:30,3.618M,-1.6M,-3.939M
"May 17, 2023",5:30,3.69M,-1.3M,3.618M
"May 24, 2023",5:30,-6.799M,0.525M,3.69M
"Jun 01, 2023",5:30,5.202M,-1.22M,-6.799M
"Jun 07, 2023",5:30,-1.71M,1.5M,5.202M
"Jun 14, 2023",5:30,1.024M,-1.291M,-1.71M
"Jun 22, 2023",5:30,-1.246M,-0.433M,1.024M
"Jun 28, 2023",5:30,-2.408M,-1.467M,-1.246M
"Jul 06, 2023",5:30,-4.382M,,-2.408M
"Jul 12, 2023",5:30,3.026M,0.2M,-4.382M
"Jul 19, 2023",5:30,-0.797M,-2.25M,3.026M
"Jul 26, 2023",5:30,1.319M,-1.969M,-0.797M
"Aug 02, 2023",5:30,-15.4M,-0.9M,1.319M
"Aug 09, 2023",5:30,4.067M,-0.233M,-15.4M
"Aug 16, 2023",5:30,-6.195M,-2.05M,4.067M
"Aug 23, 2023",5:30,-2.418M,-2.9M,-6.195M
"Aug 30, 2023",5:30,-11.486M,-2.9M,-2.418M
"Sep 07, 2023",5:30,-5.521M,-1.429M,-11.486M
"Sep 13, 2023",5:30,1.174M,-2M,-5.521M
"Sep 20, 2023",5:30,-5.25M,-2.667M,1.174M
"Sep 27, 2023",5:30,1.586M,-1.65M,-5.25M
"Oct 04, 2023",5:30,-4.21M,-0.092M,1.586M
"Oct 12, 2023",5:30,12.94M,1.3M,-4.21M
"Oct 18, 2023",5:30,-4.383M,-1.267M,12.94M
"Oct 25, 2023",5:30,-2.668M,1.55M,-4.383M
"Nov 01, 2023",5:30,1.347M,1.601M,-2.668M
"Nov 08, 2023",6:30,11.9M,,1.347M
"Nov 15, 2023",6:30,1.335M,1.4M,11.9M
"Nov 22, 2023",6:30,9.047M,1.467M,1.335M
"Nov 29, 2023",6:30,-0.817M,-2M,9.047M
"Dec 06, 2023",6:30,0.594M,-2.267M,-0.817M
"Dec 13, 2023",6:30,-2.349M,-1.5M,0.594M
"Dec 20, 2023",6:30,0.939M,-2.233M,-2.349M
"Dec 28, 2023",6:30,1.837M,,0.939M
"Jan 04, 2024",6:30,-7.418M,-2.967M,1.837M
"Jan 10, 2024",6:30,-5.215M,-1.2M,-7.418M
"Jan 18, 2024",6:30,0.483M,-2.4M,-5.215M
"Jan 24, 2024",6:30,-6.674M,-3M,0.483M
"Jan 31, 2024",6:30,-2.5M,-0.867M,-6.674M
"Feb 07, 2024",6:30,0.674M,2.133M,-2.5M
"Feb 14, 2024",6:30,8.52M,2.6M,0.674M
"Feb 22, 2024",6:30,7.168M,4.298M,8.52M
"Feb 28, 2024",6:30,8.428M,,7.168M
"Mar 06, 2024",6:30,0.423M,2.6M,8.428M
"Mar 13, 2024",5:30,-5.521M,0.4M,0.423M
"Mar 20, 2024",5:30,-1.519M,0.077M,-5.521M
"Mar 27, 2024",5:30,9.337M,,-1.519M
"Apr 03, 2024",5:30,-2.286M,-2M,9.337M
"Apr 10, 2024",5:30,3.034M,2.415M,-2.286M
