対外及び対内証券売買契約等の状況　(週次・指定報告機関ベース）,,,,,,,,,,,,,,,,,,,最終更新日  令和8年3月12日,,,
International Transactions in Securities (Weekly; based on reports from designated major investors),,,,,,,,,,,,,,,,,,,"Final Update  March  12 , 2026",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,単位： 億円,,,
,,,,,,,,,,,,,,,,,,,Unit: 100 million Yen,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,１．対外証券投資　【居住者による取得・処分】,,,,,,,,,,,2．対内証券投資　【非居住者による取得・処分】,,,,,,,,,,
,1. Portfolio Investment Assets,,,,,,,,,,,2. Portfolio Investment Liabilities,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"期間
Period",   株式 ・投資ファンド持分,,,   中 長 期 債 ,,,  小  計,   短 期 債,,,  合  計,   株式 ・投資ファンド持分,,,   中 長 期 債 ,,,  小  計,   短 期 債,,,  合  計
,Equity and investment fund shares,,, Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Equity and investment fund shares,,, Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total
,取得,処分,ネット,取得,処分,ネット,ネット,取得,処分,ネット,ネット,取得,処分,ネット,取得,処分,ネット,ネット,取得,処分,ネット,ネット
,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net,Acquisition,Disposition,Net,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net,Acquisition,Disposition,Net,Net
2005．8．7～ 8．13,"3,076 ","3,320 ",-243 ,"19,639 ","18,085 ","1,554 ","1,311 ","1,245 ","1,483 ",-238 ,"1,072 ","39,008 ","31,786 ","7,223 ","22,903 ","24,188 ","-1,285 ","5,938 ","6,583 ","8,472 ","-1,888 ","4,050 "
2005．8．14～ 8．20,"2,891 ","2,580 ",312 ,"15,917 ","14,711 ","1,206 ","1,518 ","1,570 ","1,505 ",65 ,"1,583 ","34,945 ","30,467 ","4,477 ","13,704 ","16,400 ","-2,696 ","1,782 ","7,620 ","2,887 ","4,733 ","6,515 "
2005．8．21～ 8．27,"2,059 ","1,776 ",283 ,"20,054 ","18,136 ","1,918 ","2,200 ","1,604 ","1,624 ",-20 ,"2,181 ","38,103 ","34,256 ","3,847 ","14,240 ","13,115 ","1,125 ","4,973 ","3,720 ","7,840 ","-4,120 ",852 
2005．8．28～ 9．3,"3,503 ","3,273 ",230 ,"36,909 ","28,633 ","8,276 ","8,505 ","1,306 ","1,377 ",-71 ,"8,434 ","30,465 ","27,967 ","2,498 ","16,608 ","13,709 ","2,899 ","5,397 ","4,634 ","5,688 ","-1,054 ","4,343 "
2005．9．4～ 9．10,"2,956 ","1,911 ","1,045 ","24,723 ","17,747 ","6,975 ","8,021 ","1,921 ","2,059 ",-139 ,"7,882 ","42,249 ","35,384 ","6,865 ","20,196 ","19,497 ",699 ,"7,564 ","2,465 ","4,873 ","-2,409 ","5,155 "
2005．9．11～ 9．17,"2,975 ","3,108 ",-132 ,"20,838 ","27,776 ","-6,938 ","-7,071 ","1,126 ","2,396 ","-1,270 ","-8,340 ","36,668 ","32,759 ","3,909 ","24,172 ","20,755 ","3,418 ","7,327 ","4,759 ","8,035 ","-3,276 ","4,051 "
2005．9．18～ 9．24,"2,139 ","1,628 ",511 ,"14,847 ","13,880 ",966 ,"1,477 ","1,463 ","1,737 ",-275 ,"1,203 ","28,971 ","29,861 ",-890 ,"11,760 ","17,214 ","-5,454 ","-6,344 ","3,365 ","7,789 ","-4,424 ","-10,769 "
2005．9．25～ 10．1,"3,519 ","3,008 ",511 ,"19,204 ","16,294 ","2,910 ","3,420 ","1,684 ","2,329 ",-645 ,"2,775 ","54,625 ","49,785 ","4,839 ","19,370 ","21,239 ","-1,869 ","2,970 ","4,452 ","3,338 ","1,113 ","4,083 "
2005．10．2～ 10．8,"4,028 ","3,101 ",927 ,"27,993 ","13,197 ","14,795 ","15,722 ","2,215 ","1,547 ",668 ,"16,390 ","50,196 ","48,928 ","1,268 ","18,381 ","21,599 ","-3,218 ","-1,950 ","4,003 ","6,542 ","-2,540 ","-4,490 "
2005．10．9～ 10．15,"3,028 ","2,610 ",417 ,"19,211 ","17,301 ","1,910 ","2,328 ","1,756 ","1,743 ",12 ,"2,340 ","39,267 ","35,198 ","4,069 ","16,956 ","17,864 ",-909 ,"3,160 ","4,096 ","6,292 ","-2,196 ",964 
2005．10．16～ 10．22,"3,222 ","2,559 ",664 ,"18,747 ","12,245 ","6,502 ","7,166 ","1,620 ","2,046 ",-426 ,"6,740 ","41,225 ","40,765 ",460 ,"18,848 ","18,801 ",48 ,507 ,"4,973 ","3,846 ","1,127 ","1,634 "
2005．10．23～ 10．29,"3,749 ","2,687 ","1,061 ","24,797 ","17,797 ","6,999 ","8,060 ","1,668 ","1,939 ",-271 ,"7,789 ","43,334 ","39,861 ","3,472 ","13,711 ","10,400 ","3,312 ","6,784 ","7,039 ","3,871 ","3,168 ","9,952 "
2005．10．30～ 11．5,"2,922 ","2,231 ",691 ,"22,465 ","15,304 ","7,161 ","7,852 ","1,179 ","1,020 ",158 ,"8,011 ","45,702 ","39,142 ","6,559 ","14,768 ","13,869 ",899 ,"7,458 ","5,141 ","4,460 ",681 ,"8,139 "
2005．11．6～ 11．12,"3,736 ","3,336 ",400 ,"19,179 ","18,608 ",571 ,972 ,"1,185 ","1,440 ",-255 ,716 ,"50,631 ","48,014 ","2,617 ","19,073 ","17,698 ","1,375 ","3,993 ","12,530 ","5,940 ","6,590 ","10,582 "
2005．11．13～ 11．19,"4,335 ","3,428 ",907 ,"21,269 ","19,568 ","1,701 ","2,608 ","1,376 ","1,503 ",-128 ,"2,481 ","50,448 ","44,853 ","5,595 ","19,430 ","16,052 ","3,378 ","8,973 ","10,142 ","6,804 ","3,338 ","12,311 "
2005．11．20～ 11．26,"3,483 ","3,308 ",174 ,"11,983 ","12,135 ",-152 ,22 ,"1,857 ","1,576 ",281 ,304 ,"40,376 ","39,034 ","1,343 ","12,775 ","13,797 ","-1,022 ",320 ,"7,810 ","6,632 ","1,178 ","1,498 "
2005．11．27～ 12．3,"4,607 ","4,219 ",388 ,"17,168 ","18,073 ",-906 ,-518 ,"1,263 ","1,292 ",-29 ,-547 ,"53,387 ","47,185 ","6,202 ","24,592 ","18,869 ","5,723 ","11,925 ","10,208 ","5,655 ","4,553 ","16,478 "
2005．12．4～ 12．10,"2,736 ","2,975 ",-239 ,"25,136 ","18,089 ","7,048 ","6,809 ","2,394 ","2,481 ",-88 ,"6,721 ","66,268 ","64,609 ","1,659 ","27,163 ","21,202 ","5,962 ","7,621 ","6,392 ","6,718 ",-326 ,"7,295 "
2005．12．11～ 12．17,"4,095 ","3,824 ",271 ,"22,511 ","16,759 ","5,752 ","6,023 ","1,192 ","1,371 ",-179 ,"5,844 ","59,496 ","57,267 ","2,229 ","16,586 ","14,507 ","2,079 ","4,308 ","4,407 ","5,895 ","-1,488 ","2,820 "
2005．12．18～ 12．24,"2,337 ","1,571 ",766 ,"11,221 ","9,415 ","1,806 ","2,572 ","1,354 ","1,858 ",-504 ,"2,068 ","43,312 ","39,689 ","3,624 ","9,770 ","16,748 ","-6,978 ","-3,354 ","6,834 ","7,522 ",-688 ,"-4,042 "
2005．12．25～ 12．31,"1,088 ",670 ,418 ,"11,581 ","11,377 ",205 ,623 ,448 ,"1,173 ",-725 ,-102 ,"31,692 ","30,059 ","1,632 ","10,263 ","13,943 ","-3,680 ","-2,048 ","2,435 ","4,050 ","-1,615 ","-3,663 "
2006．1．1～ 1．7,"1,662 ","1,442 ",220 ,"19,958 ","19,691 ",267 ,487 ,"1,021 ","1,225 ",-204 ,283 ,"35,144 ","32,818 ","2,326 ","15,223 ","14,282 ",940 ,"3,266 ","2,543 ",305 ,"2,238 ","5,504 "
2006．1．8～ 1．14,"3,968 ","3,200 ",768 ,"18,097 ","18,034 ",63 ,831 ,"1,312 ","1,131 ",181 ,"1,012 ","53,801 ","52,645 ","1,157 ","17,503 ","12,508 ","4,995 ","6,152 ","6,635 ","6,752 ",-118 ,"6,034 "
2006．1．15～ 1．21,"2,943 ","3,693 ",-749 ,"14,843 ","17,227 ","-2,384 ","-3,134 ","3,386 ","2,552 ",834 ,"-2,299 ","68,488 ","66,024 ","2,464 ","22,322 ","14,002 ","8,319 ","10,783 ","5,916 ","5,023 ",893 ,"11,676 "
2006．1．22～ 1．28,"3,888 ","3,657 ",230 ,"22,090 ","24,793 ","-2,703 ","-2,473 ","1,687 ","2,183 ",-496 ,"-2,969 ","58,506 ","54,987 ","3,519 ","19,668 ","18,129 ","1,539 ","5,057 ","7,585 ","4,204 ","3,381 ","8,438 "
2006．1．29～ 2．4,"3,975 ","3,066 ",909 ,"18,065 ","20,480 ","-2,415 ","-1,506 ","1,730 ","1,401 ",329 ,"-1,177 ","61,759 ","58,778 ","2,982 ","19,747 ","21,288 ","-1,541 ","1,440 ","7,969 ","8,170 ",-201 ,"1,239 "
2006．2．5～ 2．11,"3,436 ","4,031 ",-595 ,"21,000 ","19,307 ","1,693 ","1,098 ","1,481 ","1,100 ",381 ,"1,479 ","59,404 ","61,694 ","-2,290 ","17,511 ","23,379 ","-5,868 ","-8,158 ","4,269 ","5,282 ","-1,013 ","-9,172 "
2006．2．12～ 2．18,"2,928 ","2,994 ",-67 ,"18,062 ","19,595 ","-1,532 ","-1,599 ","2,487 ","3,307 ",-820 ,"-2,419 ","64,168 ","60,858 ","3,310 ","23,827 ","27,029 ","-3,201 ",109 ,"3,618 ","5,200 ","-1,582 ","-1,473 "
2006．2．19～ 2．25,"2,739 ","2,615 ",124 ,"21,384 ","23,163 ","-1,779 ","-1,655 ","1,340 ","1,043 ",297 ,"-1,358 ","59,426 ","55,762 ","3,664 ","21,393 ","18,613 ","2,780 ","6,444 ","5,155 ","7,290 ","-2,135 ","4,309 "
2006．2．26～ 3．4,"4,088 ","3,613 ",476 ,"20,084 ","18,214 ","1,871 ","2,346 ","2,094 ","1,667 ",426 ,"2,773 ","57,127 ","54,581 ","2,546 ","23,592 ","23,166 ",426 ,"2,972 ","10,172 ","6,877 ","3,294 ","6,266 "
2006．3．5～ 3．11,"4,835 ","4,755 ",80 ,"22,988 ","26,219 ","-3,231 ","-3,151 ","2,181 ","1,540 ",642 ,"-2,509 ","59,731 ","59,110 ",621 ,"30,267 ","27,189 ","3,077 ","3,698 ","10,195 ","9,266 ",929 ,"4,627 "
2006．3．12～ 3．18,"4,004 ","4,748 ",-744 ,"13,935 ","27,796 ","-13,861 ","-14,605 ","2,220 ","2,414 ",-195 ,"-14,800 ","47,469 ","42,618 ","4,851 ","28,065 ","22,887 ","5,178 ","10,029 ","6,207 ","6,115 ",92 ,"10,121 "
2006．3．19～ 3．25,"3,048 ","3,019 ",29 ,"14,440 ","21,086 ","-6,646 ","-6,617 ","1,263 ","1,883 ",-620 ,"-7,236 ","37,426 ","34,443 ","2,983 ","20,691 ","25,480 ","-4,788 ","-1,805 ","7,551 ","9,028 ","-1,477 ","-3,282 "
2006．3．26～ 4．1,"3,870 ","3,520 ",350 ,"17,550 ","19,828 ","-2,278 ","-1,928 ","1,441 ","2,029 ",-587 ,"-2,515 ","52,196 ","45,486 ","6,710 ","25,648 ","29,135 ","-3,487 ","3,223 ","3,145 ","6,559 ","-3,414 ",-191 
2006．4．2～ 4．8,"4,642 ","3,864 ",778 ,"30,640 ","29,086 ","1,554 ","2,332 ","2,273 ","1,410 ",863 ,"3,195 ","57,425 ","51,301 ","6,123 ","26,868 ","26,193 ",675 ,"6,798 ","10,580 ","11,889 ","-1,310 ","5,488 "
2006．4．9～ 4．15,"2,733 ","2,384 ",349 ,"20,414 ","21,104 ",-691 ,-342 ,"2,392 ","3,269 ",-877 ,"-1,219 ","44,955 ","46,900 ","-1,945 ","22,576 ","17,878 ","4,698 ","2,753 ","9,559 ","6,765 ","2,794 ","5,547 "
2006．4．16～ 4．22,"4,947 ","3,340 ","1,607 ","22,941 ","18,017 ","4,924 ","6,531 ","1,513 ","3,508 ","-1,995 ","4,536 ","49,694 ","47,170 ","2,524 ","16,468 ","18,487 ","-2,019 ",505 ,"7,656 ","4,547 ","3,109 ","3,614 "
2006．4．23～ 4．29,"4,440 ","3,041 ","1,399 ","24,231 ","18,511 ","5,720 ","7,119 ","1,415 ","1,509 ",-94 ,"7,025 ","54,728 ","58,009 ","-3,281 ","19,016 ","21,045 ","-2,029 ","-5,310 ","6,016 ","5,405 ",610 ,"-4,700 "
2006．4．30～ 5．6,"1,176 ",952 ,224 ,"6,521 ","4,394 ","2,127 ","2,350 ",626 ,644 ,-19 ,"2,332 ","16,519 ","15,806 ",712 ,"4,005 ","3,038 ",966 ,"1,678 ",669 ,"3,773 ","-3,104 ","-1,426 "
2006．5．7～ 5．13,"4,356 ","3,669 ",687 ,"27,944 ","23,912 ","4,032 ","4,718 ","2,137 ","2,638 ",-501 ,"4,218 ","64,473 ","63,242 ","1,231 ","17,782 ","17,902 ",-120 ,"1,110 ","15,388 ",492 ,"14,896 ","16,007 "
2006．5．14～ 5．20,"3,646 ","3,151 ",495 ,"20,077 ","18,863 ","1,213 ","1,708 ","1,552 ","1,998 ",-446 ,"1,262 ","64,741 ","69,576 ","-4,835 ","21,957 ","13,583 ","8,374 ","3,539 ","18,906 ","16,077 ","2,829 ","6,368 "
2006．5．21～ 5．27,"2,722 ","2,255 ",466 ,"15,790 ","11,446 ","4,344 ","4,810 ","1,913 ","1,620 ",294 ,"5,104 ","59,650 ","61,879 ","-2,229 ","32,494 ","21,792 ","10,702 ","8,473 ","19,283 ","8,579 ","10,704 ","19,177 "
2006．5．28～ 6．3,"8,154 ","5,884 ","2,271 ","16,054 ","15,654 ",400 ,"2,670 ","1,403 ","2,271 ",-868 ,"1,803 ","57,492 ","54,197 ","3,295 ","31,758 ","19,783 ","11,975 ","15,270 ","9,557 ","10,829 ","-1,273 ","13,997 "
2006．6．4～ 6．10,"2,479 ","2,524 ",-45 ,"13,447 ","15,020 ","-1,573 ","-1,618 ","2,135 ","1,728 ",407 ,"-1,211 ","64,155 ","68,463 ","-4,308 ","24,648 ","18,759 ","5,889 ","1,581 ","20,427 ","15,474 ","4,953 ","6,533 "
